gid_1,province,year,month,burned_area_ha,fire_count
IDN.13_1,Kalimantan Selatan,2014,8,7480.0,41
IDN.14_1,Kalimantan Tengah,2014,8,11482.0,50
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,8,1431.0,8
IDN.12_1,Kalimantan Barat,2014,9,31249.0,188
IDN.13_1,Kalimantan Selatan,2014,9,42089.0,202
IDN.14_1,Kalimantan Tengah,2014,9,67095.0,345
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,9,11581.0,69
IDN.12_1,Kalimantan Barat,2014,10,20454.0,156
IDN.13_1,Kalimantan Selatan,2014,10,32219.0,189
IDN.14_1,Kalimantan Tengah,2014,10,99296.0,616
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2014,10,36943.0,206
IDN.12_1,Kalimantan Barat,2014,11,1068.0,9
IDN.13_1,Kalimantan Selatan,2014,11,214.0,2
IDN.14_1,Kalimantan Tengah,2014,11,8372.0,52
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,3,85.0,1
IDN.12_1,Kalimantan Barat,2015,6,299.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,6,277.0,3
IDN.12_1,Kalimantan Barat,2015,7,6733.0,37
IDN.13_1,Kalimantan Selatan,2015,7,2007.0,8
IDN.14_1,Kalimantan Tengah,2015,7,3697.0,21
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,7,2102.0,12
IDN.12_1,Kalimantan Barat,2015,8,10427.0,56
IDN.13_1,Kalimantan Selatan,2015,8,25783.0,113
IDN.14_1,Kalimantan Tengah,2015,8,43847.0,205
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,8,13794.0,74
IDN.12_1,Kalimantan Barat,2015,9,6321.0,46
IDN.13_1,Kalimantan Selatan,2015,9,52607.0,274
IDN.14_1,Kalimantan Tengah,2015,9,50256.0,302
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,9,51834.0,311
IDN.12_1,Kalimantan Barat,2015,10,4827.0,30
IDN.13_1,Kalimantan Selatan,2015,10,41953.0,273
IDN.14_1,Kalimantan Tengah,2015,10,51451.0,332
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,10,52543.0,325
IDN.13_1,Kalimantan Selatan,2015,11,747.0,7
IDN.14_1,Kalimantan Tengah,2015,11,1602.0,12
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,11,1046.0,11
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2015,12,2341.0,9
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2016,1,4507.0,16
IDN.14_1,Kalimantan Tengah,2016,2,236.0,2
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2016,2,4253.0,21
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2016,3,2710.0,20
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2016,4,321.0,3
IDN.15_1,Kalimantan Timur (legacy unit; includes later Kalimantan Utara area),2016,5,128.0,2
IDN.12_1,Kalimantan Barat,2016,6,64.0,1
IDN.12_1,Kalimantan Barat,2016,7,257.0,1
IDN.12_1,Kalimantan Barat,2016,8,3199.0,23
IDN.14_1,Kalimantan Tengah,2016,8,790.0,7
IDN.12_1,Kalimantan Barat,2016,9,3991.0,28
IDN.13_1,Kalimantan Selatan,2016,9,298.0,3
IDN.14_1,Kalimantan Tengah,2016,9,107.0,1
