bbox_pixels,bbox_window,composite_doy_max,composite_doy_min,composite_end,composite_start,doy,evi_mean_qa,evi_p05_qa,evi_p50_qa,evi_p95_qa,intersects_bbox,path,qa_pass_fraction_of_valid,qa_pass_pixels,sha256,tile,valid_evi_pixels,window_pixels,year
2495367,"[3808, 957, 4800, 4800]",143,-1,2015-05-24,2015-05-09,129,0.531696,0.3737,0.5352,0.6622,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h28v08.061.2021326015327.hdf,0.435543,177665,0aa473511d4464ec0c1461c1c020265a7ea266c1a523e747ac295301a334b599,h28v08,407916,3812256,2015
1311308,"[3808, 0, 4800, 2403]",144,-1,2015-05-24,2015-05-09,129,0.578163,0.4386,0.5884,0.6838,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h28v09.061.2021326020513.hdf,0.283295,59780,97012f31c26c3cd18dfc3991273ae8a0c8983fd74ca360816b94d428f77dbb4b,h28v09,211017,2383776,2015
17368598,"[0, 957, 4583, 4800]",144,-1,2015-05-24,2015-05-09,129,0.551369,0.4073,0.5575,0.6776,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h29v08.061.2021326020507.hdf,0.134328,1069027,b4f3f41800406026ac86910f269f6efda200397f85d5546d855b3dfc75abf439,h29v08,7958346,17612469,2015
10999187,"[0, 0, 4583, 2403]",144,-1,2015-05-24,2015-05-09,129,0.532463,0.3592,0.5457,0.6598,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h29v09.061.2021326015711.hdf,0.138814,781944,1f9167b05c37d6f43acccaf60068952d0f7c5337ae32b54d101ce6e2c6780770,h29v09,5633016,11012949,2015
,,,,,,129,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h30v08.061.2021326015447.hdf,,,,h30v08,,,2015
,,,,,,129,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015129.h30v09.061.2021326020504.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",160,-1,2015-06-09,2015-05-25,145,0.524557,0.3983,0.5294,0.6429,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h28v08.061.2021326081703.hdf,0.290733,118643,d994b03e2dd99244573fd3aff3d3fd646216180ca302d697923804355d74ef0b,h28v08,408082,3812256,2015
1311308,"[3808, 0, 4800, 2403]",160,-1,2015-06-09,2015-05-25,145,0.517377,0.4034,0.5063,0.66744,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h28v09.061.2021326084240.hdf,0.109281,23073,7eef0883b3b4c045a856f55b3bfaebaf21aeaeb897dee1b4c7ade25426d76d80,h28v09,211134,2383776,2015
17368598,"[0, 957, 4583, 4800]",160,-1,2015-06-09,2015-05-25,145,0.531851,0.3932,0.5389,0.657,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h29v08.061.2021326080401.hdf,0.267926,2132060,88f44e0a224b4da4299ee9f63ddd11097e60c5c281859d5307a7af40698e319e,h29v08,7957635,17612469,2015
10999187,"[0, 0, 4583, 2403]",160,-1,2015-06-09,2015-05-25,145,0.53445,0.3449,0.5522,0.6615,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h29v09.061.2021326081417.hdf,0.275292,1550753,658c383fb7a9406da76b77e466dae73a62287e211a8d0267a8e95409ec29b4f4,h29v09,5633115,11012949,2015
,,,,,,145,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h30v08.061.2021326084551.hdf,,,,h30v08,,,2015
,,,,,,145,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015145.h30v09.061.2021326082524.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",176,-1,2015-06-25,2015-06-10,161,0.541963,0.381,0.5548,0.6633,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h28v08.061.2021326134851.hdf,0.500244,204053,5f2f08cef4f798a3527567fe056066295d934af5758d61cfbe977a095fb739c5,h28v08,407907,3812256,2015
1311308,"[3808, 0, 4800, 2403]",176,-1,2015-06-25,2015-06-10,161,0.539512,0.3915,0.545,0.6564,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h28v09.061.2021326140137.hdf,0.590046,124436,132df2bb18eefaeac12b010e2bbafaa1e53ba2faf6b23be8e7864b122ea0a01f,h28v09,210892,2383776,2015
17368598,"[0, 957, 4583, 4800]",176,-1,2015-06-25,2015-06-10,161,0.543347,0.4166,0.5468,0.6575,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h29v08.061.2021326132008.hdf,0.183794,1462912,90dd5d1603220e6f0e384794c9060e0e47194b0b8820e12e6fe47f6b6e81c4e8,h29v08,7959530,17612469,2015
10999187,"[0, 0, 4583, 2403]",176,-1,2015-06-25,2015-06-10,161,0.52312,0.376,0.5311,0.6424,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h29v09.061.2021326140552.hdf,0.084249,474937,9c5dbc635e3617d8d4c67989e66e998f72932e0110e37c912c8a0cf49ea032e1,h29v09,5637289,11012949,2015
,,,,,,161,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h30v08.061.2021326142255.hdf,,,,h30v08,,,2015
,,,,,,161,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015161.h30v09.061.2021326125618.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",192,-1,2015-07-11,2015-06-26,177,0.542302,0.387755,0.5527,0.6572,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h28v08.061.2021327185853.hdf,0.595133,242812,01bc66f2cac00b296e604f27600b8ce226bf47da61b104621a5edf2e58fe1846,h28v08,407996,3812256,2015
1311308,"[3808, 0, 4800, 2403]",192,-1,2015-07-11,2015-06-26,177,0.57079,0.4242,0.5822,0.6711,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h28v09.061.2021327203840.hdf,0.554421,117076,7c55a0a2ea4440ea1491b36945152e6e992f6328cb9f3e70cbfc6f7a41112c80,h28v09,211168,2383776,2015
17368598,"[0, 957, 4583, 4800]",192,-1,2015-07-11,2015-06-26,177,0.528256,0.4089,0.5305,0.6448,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h29v08.061.2021327204509.hdf,0.458637,3651792,b4da228a787a112818f99d93fa9c2511584f82de4957bb65071e57baa2977651,h29v08,7962273,17612469,2015
10999187,"[0, 0, 4583, 2403]",192,-1,2015-07-11,2015-06-26,177,0.507215,0.3599,0.514,0.6323,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h29v09.061.2021327204935.hdf,0.457142,2575303,96fabb8fa2a089b9874e7fb9ba5f21674c9ffe17080c9451829cf6f3e5dc152f,h29v09,5633484,11012949,2015
,,,,,,177,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h30v08.061.2021327172755.hdf,,,,h30v08,,,2015
,,,,,,177,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015177.h30v09.061.2021327184429.hdf,,,,h30v09,,,2015
2495367,"[3808, 957, 4800, 4800]",208,-1,2015-07-27,2015-07-12,193,0.5384,0.3987,0.5481,0.6415,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h28v08.061.2021329031441.hdf,0.425653,173675,586e1279ec6ce4b8cff6383a25571b5e83f013b3373451d932259bc063d37d94,h28v08,408020,3812256,2015
1311308,"[3808, 0, 4800, 2403]",208,-1,2015-07-27,2015-07-12,193,0.526045,0.3992,0.5271,0.6444,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h28v09.061.2021329032444.hdf,0.237319,50070,35203f4c59a50731e99a3005d8ee7e5bffa7d20d380984537412a34bb743d775,h28v09,210982,2383776,2015
17368598,"[0, 957, 4583, 4800]",208,-1,2015-07-27,2015-07-12,193,0.538103,0.4078,0.5413,0.6633,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h29v08.061.2021329031125.hdf,0.314083,2500052,ce4e16d13eea0469f67fe10e0c8a1eb0a84b4cd7e4e9a6535109a4ee2ade8a26,h29v08,7959854,17612469,2015
10999187,"[0, 0, 4583, 2403]",208,-1,2015-07-27,2015-07-12,193,0.501843,0.3525,0.5087,0.6303,True,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h29v09.061.2021329032135.hdf,0.270285,1523018,17efce78b4d809a626a117c09d7f3cf9a9ca61f9a3e95f82d2f51f258043ef03,h29v09,5634856,11012949,2015
,,,,,,193,,,,,False,data/raw/mod13q1/MOD13Q1/MOD13Q1.A2015193.h30v08.061.2021329031534.hdf,,,,h30v08,,,2015
